"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACSM3",49.992080322324,0.587013916306392,0.47844138401513,1.22692964262437,0.219849036125445,0.832158739489129
"ACSM4",0.246550723827352,0,4.32804458550702,0,1,NA
"ACSM5",0.416788893614845,-3.15358318396205,4.24224050164078,-0.743376803541037,0.457253584090965,0.924310714130335
"ACSM6",0.347522935644303,0,4.32804458550702,0,1,1
"ACSS1",307.391085899085,-0.111111995826992,0.864574497923789,-0.128516392854311,0.897740326175155,0.99392849563741
"ACSS2",2398.32938343819,-0.291345918279683,0.206841471823659,-1.40854692103558,0.158969183403842,0.792309362698649
"ACSS3",701.251754063179,0.0113777194211192,0.407762765164917,0.0279027915079926,0.977739682010229,1
"ACTA1",3.0526199001204,3.12253760371627,1.64436956443591,1.89892690259531,0.0575740875859397,0.635537171129422
"ACTA2",18758.6709751504,2.84428004529885,1.12951616974331,2.51814017496114,NA,NA
"ACTB",73574.5989740555,-0.0129415573877198,0.324690822497269,-0.0398580941961444,0.968206260521693,1
"ACTBL2",1.43465923414083,-3.04317387613137,2.60799796309471,-1.16686206016828,0.243266079684967,0.8506688999502
"ACTC1",2.66068151648883,5.53277935643237,2.93286191614989,1.88647795723555,NA,NA
"ACTG1",148685.742987793,-0.0606972584551313,0.241735836139189,-0.251089203092679,0.801745143255159,0.981919672331501
"ACTG2",2251.34480561943,5.5819369553792,1.64650756247035,3.39016782103588,NA,NA
"ACTL10",35.474922649797,0.425775027647176,0.359651735912178,1.18385367046065,0.236470992417602,0.845624401654944
"ACTL6A",3125.29725505139,-0.311622932367635,0.168908063879572,-1.84492631796322,0.0650482576686521,0.644138534370598
"ACTL7A",0.460455786901024,1.41086930967271,4.28532944297098,0.329232402887226,0.741980032943664,0.970455956474225
"ACTL7B",0.373479898248724,-1.93947504947922,4.28946391468869,-0.45214858734159,0.651161943145931,0.951119465620881
"ACTL8",0.0594444045750987,-0.661719333945934,4.32804458550702,-0.152891062204345,0.87848418436943,NA
"ACTL9",0.186904972695816,2.05738291316049,4.2895064648664,0.479631614968219,0.631489361910762,NA
"ACTN1",29897.768747059,0.494736123869469,0.34998396800114,1.41359653327851,0.15748039974901,0.790111462879722
"ACTN2",7.12473367566175,0.00448722978618383,1.84176396504714,0.00243637614338327,0.998056055014073,1
"ACTN3",24.840623109774,-1.14881346953181,0.891442483307527,-1.2887129467617,0.197497899819143,0.820062621600867
"ACTN4",14044.7580816709,0.107797724078487,0.281836801631776,0.382482782427136,0.702103297502113,0.96063666390221
"ACTR10",2407.10868478776,-0.107741775592818,0.153173129632246,-0.703398669541424,0.481807335440648,0.927130460022565
"ACTR1A",3100.93668367918,-0.283238285259342,0.169261125145569,-1.67338061244571,0.0942523920294667,0.7087054069186
"ACTR1B",906.034760650202,0.0537003817634969,0.178487994284029,0.300862710564404,0.763519186257894,0.972637269725754
"ACTR2",24439.4700451473,-0.0811047120793547,0.170626939599069,-0.47533356848532,0.634549236262488,0.949143361837332
"ACTR3",9613.65884410827,0.054466047983913,0.233971764992245,0.232788977703008,0.815925272342499,0.983948856692993
"ACTR3B",297.280489343942,0.317538359753964,0.216007691197531,1.47003265482611,0.141552910089135,0.7785181952088
"ACTR3C",6.2453244977757,-0.851588788531258,1.48518407136497,-0.573389389874483,0.566381072664942,0.939732862621629
"ACTR5",212.626541606803,-0.0712490495851673,0.230157961724434,-0.309565869680725,0.756891114139046,0.971687708991586
"ACTR6",765.748656466219,-0.0651211626264385,0.13581741161123,-0.479475803977508,0.631600177386924,0.949143361837332
"ACTR8",1095.03548346551,0.132446800084123,0.108943784902447,1.21573525467947,0.224085789726127,0.83595203612875
"ACTRT3",129.947611876059,-0.167131385188492,0.337301435125604,-0.495495624340453,0.620250309965507,0.949143361837332
"ACVR1",9405.65985403898,0.0261157574602966,0.159876633971013,0.163349432694659,0.870243314877495,0.989771849561272
"ACVR1B",2336.01278168489,0.0862944066981821,0.198276875598578,0.435221739487612,0.663401484299666,0.953880738874511
"ACVR1C",115.853171061924,1.15068183631287,0.51934115986611,2.21565692310913,0.0267150071953649,0.527904250800522
"ACVR2A",1434.22735213683,-0.312348174291126,0.174839907419511,-1.78648100940523,0.0740214093801581,0.669344250978002
"ACVR2B",435.733172206059,0.0423085992662683,0.210020535556822,0.201449820866786,0.84034686218082,0.987878662992298
"ACVRL1",1862.57516528581,0.627209082157699,0.536155818008427,1.16982612347189,0.242070948584064,0.849691094810279
"ACY1",2425.85518164945,-0.464244256984166,0.233029784971516,-1.99220995307923,0.0463480266431622,0.614732913827562
"ACY3",0.0671682173245174,0,4.32804458550702,0,1,NA
"ACYP1",299.180897393559,-0.659793892893642,0.617464834033449,-1.06855298719392,0.285271142189355,0.869432805658882
"ACYP2",435.727768224492,0.00155769899770904,0.169320459628961,0.00919970924436708,0.992659797569434,1
"ADA",3468.2518742304,-1.39554941626464,0.608553966086351,-2.29322212003564,0.0218352202748178,0.499450149946365
"ADA2",503.768415988462,1.03595249621465,1.18054564119785,0.877520072128262,0.380204221393201,0.90296183101382
"ADAL",1149.46322610709,-0.257446218449255,0.196566486405586,-1.30971572599641,0.190292021551679,0.818899367007144
"ADAM10",9031.85316453675,-0.159045897047304,0.173434009946114,-0.917039841820644,0.359121762810302,0.897288048658313
"ADAM11",54.0949424923321,0.380099346660635,0.633193499905208,0.600289400819083,0.548313381300942,0.936822530672095
"ADAM12",17894.6195109479,0.462366877329597,0.544583925086264,0.84902777337094,0.395865838183695,0.90654299628169
"ADAM15",1702.0453194626,-0.245579062301457,0.24996762167121,-0.982443488719012,0.325881410427266,0.885800043774786
"ADAM17",1399.4744779971,-0.0847286749868347,0.214723958492368,-0.394593484498593,0.693142922773145,0.957803845965765
"ADAM19",780.214602056489,1.35076884198823,0.641134628058608,2.10684118884428,0.0351313478498816,0.568433793842229
"ADAM2",0.598373309953194,-3.6747280783747,4.23131810277902,-0.868459423072267,0.385142876463395,0.903564538369853
